,序号,标题,链接,导演,评分,评价人数,简介
0,1,肖申克的救赎,https://movie.douban.com/subject/1292052/,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...,9.7,3033837人评价,希望让人自由。
1,2,霸王别姬,https://movie.douban.com/subject/1291546/,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,9.6,2242475人评价,风华绝代。
2,3,阿甘正传,https://movie.douban.com/subject/1292720/,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,9.5,2260549人评价,一部美国近现代史。
3,4,泰坦尼克号,https://movie.douban.com/subject/1292722/,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...,9.5,2299729人评价,失去的才是永恒的。
4,5,千与千寻,https://movie.douban.com/subject/1291561/,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,9.4,2348705人评价,最好的宫崎骏，最好的久石让。
5,6,这个杀手不太冷,https://movie.douban.com/subject/1295644/,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,9.4,2386586人评价,怪蜀黍和小萝莉不得不说的故事。
6,7,美丽人生,https://movie.douban.com/subject/1292063/,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...,9.5,1383364人评价,最美的谎言。
7,8,星际穿越,https://movie.douban.com/subject/1889243/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...,9.4,1965661人评价,爱是一种力量，让我们超越时空感知它的存在。
8,9,盗梦空间,https://movie.douban.com/subject/3541415/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...,9.4,2162893人评价,诺兰给了我们一场无法盗取的梦。
9,10,楚门的世界,https://movie.douban.com/subject/1292064/,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,9.4,1819421人评价,如果再也不能见到你，祝你早安，午安，晚安。
